0 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	62326	54182	45558	36680	32115	27038	22190	17531	13432	10335	
B													
C													
D													
E													
F													
G													
H													
54 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61867	54043	45591	36712	31661	27001	22112	17602	13382	10461	
B													
C													
D													
E													
F													
G													
H													
58 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61938	54061	45681	36750	31840	26922	22442	17553	13458	10371	
B													
C													
D													
E													
F													
G													
H													
62 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61343	54662	45202	36694	31785	27065	22274	17684	13532	10403	
B													
C													
D													
E													
F													
G													
H													
66 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61370	54101	45632	36675	31845	26999	22264	17563	13476	10361	
B													
C													
D													
E													
F													
G													
H													
70 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61788	54011	45586	36648	31886	26922	22274	17733	13417	10343	
B													
C													
D													
E													
F													
G													
H													
73 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61548	53962	45351	36791	31662	26803	22161	17395	13426	10336	
B													
C													
D													
E													
F													
G													
H													
77 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61725	54123	45507	36592	31822	26782	22116	17577	13429	10327	
B													
C													
D													
E													
F													
G													
H													
81 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61739	53371	45360	36625	31927	26918	22040	17580	13358	10390	
B													
C													
D													
E													
F													
G													
H													
85 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61725	53416	45300	36421	31772	26979	22155	17432	13409	10293	
B													
C													
D													
E													
F													
G													
H													
89 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61536	54012	44997	36360	31566	26790	22150	17500	13391	10360	
B													
C													
D													
E													
F													
G													
H													
93 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61198	53624	45425	36544	31873	26815	22160	17469	13313	10450	
B													
C													
D													
E													
F													
G													
H													
97 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61301	53584	45479	36386	32046	26738	22284	17407	13506	10296	
B													
C													
D													
E													
F													
G													
H													
100 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60777	54081	44815	36722	31922	26811	22230	17598	13395	10163	
B													
C													
D													
E													
F													
G													
H													
104 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61476	53728	44942	36350	31400	26852	21952	17628	13251	10320	
B													
C													
D													
E													
F													
G													
H													
108 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61529	53882	45355	36274	31687	26962	22091	17297	13318	10310	
B													
C													
D													
E													
F													
G													
H													
112 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61194	53000	45140	36378	31433	26682	22019	17425	13491	10309	
B													
C													
D													
E													
F													
G													
H													
116 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61286	53346	44941	36384	31464	26579	21958	17516	13392	10284	
B													
C													
D													
E													
F													
G													
H													
120 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60926	53143	45081	36264	31555	26574	21994	17422	13228	10303	
B													
C													
D													
E													
F													
G													
H													
124 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60828	53355	45227	36152	31649	26478	22260	17361	13356	10359	
B													
C													
D													
E													
F													
G													
H													
128 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60852	53103	45199	36309	31706	26619	21878	17432	13216	10285	
B													
C													
D													
E													
F													
G													
H													
131 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60269	53128	44910	36253	31430	26487	21709	17457	13288	10402	
B													
C													
D													
E													
F													
G													
H													
135 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60799	52786	45227	35998	31368	26214	22021	17438	13325	10239	
B													
C													
D													
E													
F													
G													
H													
139 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60594	53138	44985	36181	31499	26488	22035	17349	13320	10289	
B													
C													
D													
E													
F													
G													
H													
143 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60888	52842	45239	36129	31467	26704	21774	17264	13366	10237	
B													
C													
D													
E													
F													
G													
H													
147 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60652	52679	44789	35890	31280	26469	22081	17344	13290	10314	
B													
C													
D													
E													
F													
G													
H													
151 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60158	53140	44898	35997	31406	26606	21829	17433	13100	10280	
B													
C													
D													
E													
F													
G													
H													
155 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	61134	52712	44627	36116	31479	26651	21888	17404	13200	10266	
B													
C													
D													
E													
F													
G													
H													
159 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60416	52864	44819	36133	31201	26325	21941	17306	13315	10269	
B													
C													
D													
E													
F													
G													
H													
162 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60481	53039	44940	36208	31192	26292	22086	17336	13261	10396	
B													
C													
D													
E													
F													
G													
H													
166 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60368	52649	44619	36012	31269	26569	21834	17385	13250	10351	
B													
C													
D													
E													
F													
G													
H													
170 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60507	52818	44656	35560	31348	26451	21809	17271	13292	10301	
B													
C													
D													
E													
F													
G													
H													
174 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59988	52874	44436	35726	31343	26430	21833	17261	13273	10360	
B													
C													
D													
E													
F													
G													
H													
178 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60048	52517	44962	35718	31472	26304	21651	17368	13378	10241	
B													
C													
D													
E													
F													
G													
H													
182 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60139	52478	44422	35885	31040	26361	21839	17267	13301	10288	
B													
C													
D													
E													
F													
G													
H													
186 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59915	52658	44842	35722	31234	26260	21884	17269	13152	10259	
B													
C													
D													
E													
F													
G													
H													
189 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	60029	52439	44504	35509	30988	26127	21605	17223	13078	10252	
B													
C													
D													
E													
F													
G													
H													
193 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59796	52436	44754	35604	31027	26144	21598	17142	13075	10228	
B													
C													
D													
E													
F													
G													
H													
197 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59659	52598	44452	35558	31332	26276	21502	17265	13123	10291	
B													
C													
D													
E													
F													
G													
H													
201 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59766	52491	44062	35457	30971	26032	21522	17239	13222	10272	
B													
C													
D													
E													
F													
G													
H													
205 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59685	52223	44106	35451	30739	26194	21551	17191	13106	10297	
B													
C													
D													
E													
F													
G													
H													
209 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59631	51996	44449	35187	30918	25956	21717	17224	13022	10210	
B													
C													
D													
E													
F													
G													
H													
213 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59788	52348	43810	35396	30973	26195	21450	17232	12965	10217	
B													
C													
D													
E													
F													
G													
H													
217 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59187	52233	44090	35576	31019	25983	21799	17094	13141	10229	
B													
C													
D													
E													
F													
G													
H													
220 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59098	52099	43824	35493	30763	25953	21612	17181	13062	10205	
B													
C													
D													
E													
F													
G													
H													
224 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59665	51940	44042	35369	30844	25953	21553	17211	13053	10244	
B													
C													
D													
E													
F													
G													
H													
228 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59065	52174	43871	35300	30866	25985	21466	17169	13052	10346	
B													
C													
D													
E													
F													
G													
H													
232 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59107	52262	44091	35226	30916	25799	21440	17134	12980	10129	
B													
C													
D													
E													
F													
G													
H													
236 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59392	52050	43983	35381	30879	25786	21579	17121	13043	10269	
B													
C													
D													
E													
F													
G													
H													
240 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59068	51823	44092	35176	30730	25856	21551	17176	13083	10144	
B													
C													
D													
E													
F													
G													
H													
244 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59324	52308	43804	35343	31023	25723	21594	17353	13120	10332	
B													
C													
D													
E													
F													
G													
H													
247 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59148	52041	44072	35344	30733	26050	21606	16984	13047	10297	
B													
C													
D													
E													
F													
G													
H													
251 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59016	51772	43916	35240	30895	25763	21429	17067	13122	10217	
B													
C													
D													
E													
F													
G													
H													
255 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59137	51753	43865	35354	30619	25889	21280	17145	13042	10216	
B													
C													
D													
E													
F													
G													
H													
259 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59011	52042	43661	35445	30668	25916	21391	17191	13074	10197	
B													
C													
D													
E													
F													
G													
H													
263 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59075	52115	44004	35089	30701	25920	21491	17070	13060	10124	
B													
C													
D													
E													
F													
G													
H													
267 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59020	51783	43905	35210	30703	25901	21322	16988	12945	10323	
B													
C													
D													
E													
F													
G													
H													
271 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58980	51689	43801	35129	30564	25869	21330	17075	13140	10198	
B													
C													
D													
E													
F													
G													
H													
275 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58915	51702	43790	35418	30780	25965	21251	17150	13065	10083	
B													
C													
D													
E													
F													
G													
H													
278 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58879	51431	43813	35170	30735	25839	21281	17044	13033	10132	
B													
C													
D													
E													
F													
G													
H													
282 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	59002	51730	43529	35219	30707	25705	21411	17069	13117	10030	
B													
C													
D													
E													
F													
G													
H													
286 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58446	51706	43594	35360	30525	25774	21327	17068	13034	10071	
B													
C													
D													
E													
F													
G													
H													
290 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58477	51552	44123	35128	30827	25631	21670	17038	13017	10195	
B													
C													
D													
E													
F													
G													
H													
294 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	63421	58648	51726	43301	34845	30471	25913	21399	16985	13004	10105	
B													
C													
D													
E													
F													
G													
H													
298 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58318	51378	43598	35036	30666	25694	21248	17061	12950	10169	
B													
C													
D													
E													
F													
G													
H													
302 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58542	51537	43410	34941	30237	25519	21363	16968	12862	10049	
B													
C													
D													
E													
F													
G													
H													
306 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58422	51600	43255	35088	30356	25660	21116	16884	12987	10054	
B													
C													
D													
E													
F													
G													
H													
309 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58439	51333	43395	34696	30359	25593	21268	16977	13014	10126	
B													
C													
D													
E													
F													
G													
H													
313 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	63484	58341	51180	43307	34910	30418	25646	21013	16606	12927	10121	
B													
C													
D													
E													
F													
G													
H													
317 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58587	51105	43308	34702	30168	25535	21283	16938	12913	10049	
B													
C													
D													
E													
F													
G													
H													
321 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58160	51114	42864	34931	30014	25579	21138	16958	12854	10084	
B													
C													
D													
E													
F													
G													
H													
325 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58090	51208	43291	34978	30224	25516	21104	16884	12793	10111	
B													
C													
D													
E													
F													
G													
H													
329 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	57866	51272	43656	34748	30394	25379	21162	17037	12803	10102	
B													
C													
D													
E													
F													
G													
H													
333 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62996	58197	51193	43137	34801	30201	25413	21007	16853	12837	9952	
B													
C													
D													
E													
F													
G													
H													
337 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	57989	51249	43138	35014	29910	25470	21073	16745	12981	10150	
B													
C													
D													
E													
F													
G													
H													
340 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	58331	50616	43303	34717	30301	25457	21210	16937	12884	10079	
B													
C													
D													
E													
F													
G													
H													
344 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	63197	58952	50889	43235	34599	30180	25544	21147	16673	12906	10021	
B													
C													
D													
E													
F													
G													
H													
348 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	57772	51334	42889	34423	30192	26004	20943	16870	12915	10090	
B													
C													
D													
E													
F													
G													
H													
352 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62779	58052	50836	43081	34830	30260	25660	20930	16771	12887	10053	
B													
C													
D													
E													
F													
G													
H													
356 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	57788	50930	43403	34744	29957	25318	21038	16860	12872	10097	
B													
C													
D													
E													
F													
G													
H													
360 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	57784	50982	43249	34506	30132	25486	20882	16746	12873	10022	
B													
C													
D													
E													
F													
G													
H													
364 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	57550	50670	43049	34513	30217	25500	21285	16695	12927	10077	
B													
C													
D													
E													
F													
G													
H													
367 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62713	58163	50917	43152	34981	30021	25207	20940	16847	12808	10117	
B													
C													
D													
E													
F													
G													
H													
371 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62647	57584	51430	43183	34547	30086	25322	21055	16864	12810	10021	
B													
C													
D													
E													
F													
G													
H													
375 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	63165	57873	51055	43196	34556	29806	25324	21107	16934	12932	10048	
B													
C													
D													
E													
F													
G													
H													
379 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	63220	57300	51006	42897	34377	30047	25326	21001	16850	12749	9988	
B													
C													
D													
E													
F													
G													
H													
383 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62932	57596	51078	43027	34540	29921	25257	21040	16780	12856	10009	
B													
C													
D													
E													
F													
G													
H													
387 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62521	57835	50847	43552	34578	30074	25114	21163	16814	12800	10019	
B													
C													
D													
E													
F													
G													
H													
391 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62450	57598	50755	43004	34696	29972	25391	21103	16894	12948	10061	
B													
C													
D													
E													
F													
G													
H													
395 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62827	57436	51012	43072	34777	29800	25092	20898	16918	12706	10055	
B													
C													
D													
E													
F													
G													
H													
398 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62861	57568	50837	42431	34741	29900	25430	20885	16706	12647	10137	
B													
C													
D													
E													
F													
G													
H													
402 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62791	57345	50378	42836	34604	29924	25286	20962	16738	12800	10037	
B													
C													
D													
E													
F													
G													
H													
406 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62079	57747	50433	42948	34383	29870	25176	20850	16755	12771	9913	
B													
C													
D													
E													
F													
G													
H													
410 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62389	57350	50708	42890	34633	29904	25448	20898	16754	12845	10024	
B													
C													
D													
E													
F													
G													
H													
414 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62296	57136	51312	42660	34859	29420	25262	21026	16750	12721	10111	
B													
C													
D													
E													
F													
G													
H													
418 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62484	57327	50578	42928	34346	30115	25011	21029	16729	12841	10018	
B													
C													
D													
E													
F													
G													
H													
422 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62381	57335	50712	42710	34298	30040	25213	20914	16665	12917	10013	
B													
C													
D													
E													
F													
G													
H													
426 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62259	57219	50519	42815	34371	30112	24989	20960	16793	12790	10071	
B													
C													
D													
E													
F													
G													
H													
429 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62251	57058	50765	42949	34357	29906	25116	20827	16625	12844	10107	
B													
C													
D													
E													
F													
G													
H													
433 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62446	56735	50456	42600	34519	29936	25167	20930	16776	12926	10038	
B													
C													
D													
E													
F													
G													
H													
437 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62577	57190	50324	42460	34490	29836	25033	21062	16746	12845	10036	
B													
C													
D													
E													
F													
G													
H													
441 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62674	57258	50623	42457	34455	29710	25106	20868	16865	12707	9963	
B													
C													
D													
E													
F													
G													
H													
445 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62234	57293	50513	42934	34465	29836	25070	20916	16696	12828	10056	
B													
C													
D													
E													
F													
G													
H													
449 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62372	57108	50659	42393	34339	29859	25321	20786	16646	12797	10002	
B													
C													
D													
E													
F													
G													
H													
453 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62423	57185	50692	42348	34781	29802	25098	20855	16878	12824	10016	
B													
C													
D													
E													
F													
G													
H													
456 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62287	57311	50337	42246	34576	29731	25070	20789	16700	12725	10121	
B													
C													
D													
E													
F													
G													
H													
460 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61852	56885	50343	42749	34436	29714	25203	20754	16727	12693	10052	
B													
C													
D													
E													
F													
G													
H													
464 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62357	57145	50260	42611	34420	29906	25123	20844	16631	12791	10033	
B													
C													
D													
E													
F													
G													
H													
468 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61952	57631	50085	42341	34362	29421	25170	20800	16634	12667	9971	
B													
C													
D													
E													
F													
G													
H													
472 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61760	57145	50531	42405	34479	29671	25127	20777	16747	12604	9933	
B													
C													
D													
E													
F													
G													
H													
476 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62044	57344	50201	42479	34393	29771	25365	20750	16613	12747	9982	
B													
C													
D													
E													
F													
G													
H													
480 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62396	56958	50805	43049	34108	29653	24951	20751	16633	12829	10030	
B													
C													
D													
E													
F													
G													
H													
484 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	Overflow	56743	50633	41874	34200	29549	25154	20838	16851	12760	9933	
B													
C													
D													
E													
F													
G													
H													
487 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61692	56733	50776	42394	34214	29594	25043	20987	16552	12759	10102	
B													
C													
D													
E													
F													
G													
H													
491 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62268	57207	50307	42868	34105	29794	24904	20864	16625	12840	9889	
B													
C													
D													
E													
F													
G													
H													
495 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61907	56693	50554	42514	34307	29826	24956	20690	16677	12748	10060	
B													
C													
D													
E													
F													
G													
H													
499 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61981	56308	50319	42420	34474	29465	25234	20680	16654	12748	10032	
B													
C													
D													
E													
F													
G													
H													
503 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62316	56694	50513	42470	34073	29499	24928	20660	16634	12775	10020	
B													
C													
D													
E													
F													
G													
H													
507 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62126	57195	50238	42458	33963	29703	25123	20810	16656	12971	10026	
B													
C													
D													
E													
F													
G													
H													
511 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61883	57318	50211	42252	34219	29602	25220	20761	16646	12803	10133	
B													
C													
D													
E													
F													
G													
H													
515 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61453	56703	50446	42073	34379	29369	25044	20946	16843	12828	9980	
B													
C													
D													
E													
F													
G													
H													
519 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61869	56915	50420	42101	34089	29760	24996	20719	16512	12690	10021	
B													
C													
D													
E													
F													
G													
H													
523 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	62123	56769	50157	42772	34029	29519	25148	20827	16576	12797	10045	
B													
C													
D													
E													
F													
G													
H													
526 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61723	56293	50475	42167	34417	29448	24732	20850	16487	12657	9992	
B													
C													
D													
E													
F													
G													
H													
530 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61744	56862	50507	42095	34222	29434	24864	20595	16706	12707	10027	
B													
C													
D													
E													
F													
G													
H													
534 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61814	56590	50577	42493	34118	29569	25074	20720	16643	12696	10032	
B													
C													
D													
E													
F													
G													
H													
538 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61908	57159	50024	42377	34037	29508	24894	20805	16643	12611	10012	
B													
C													
D													
E													
F													
G													
H													
542 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61571	56127	50363	42155	34041	29508	24976	20604	16596	12775	10142	
B													
C													
D													
E													
F													
G													
H													
546 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61603	56849	49991	42488	34199	29637	25098	20722	16607	12704	10002	
B													
C													
D													
E													
F													
G													
H													
550 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	60913	56472	50484	42203	34073	29228	25068	20678	16545	12684	10115	
B													
C													
D													
E													
F													
G													
H													
553 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61614	56441	50236	42035	33831	29252	24989	20633	16557	12722	10045	
B													
C													
D													
E													
F													
G													
H													
557 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61637	56995	50177	42132	34038	29601	25002	20774	16636	12657	10052	
B													
C													
D													
E													
F													
G													
H													
561 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	Overflow	61332	56212	50293	41809	34121	29709	24877	20762	16454	12636	10055	
B													
C													
D													
E													
F													
G													
H													
565 s
<>	1	2	3	4	5	6	7	8	9	10	11	12	
