sample	nm	Abs
mant	274	0.1
mant	274.5	0.099
mant	275	0.098
mant	275.5	0.098
mant	276	0.098
mant	276.5	0.096
mant	277	0.094
mant	277.5	0.092
mant	278	0.092
mant	278.5	0.091
mant	279	0.09
mant	279.5	0.087
mant	280	0.086
mant	280.5	0.086
mant	281	0.083
mant	281.5	0.082
mant	282	0.079
mant	282.5	0.077
mant	283	0.075
mant	283.5	0.072
mant	284	0.071
mant	284.5	0.068
mant	285	0.064
mant	285.5	0.062
mant	286	0.061
mant	286.5	0.057
mant	287	0.055
mant	287.5	0.052
mant	288	0.051
mant	288.5	0.051
mant	289	0.05
mant	289.5	0.049
mant	290	0.046
mant	290.5	0.044
mant	291	0.045
mant	291.5	0.042
mant	292	0.041
mant	292.5	0.042
mant	293	0.041
mant	293.5	0.038
mant	294	0.037
mant	294.5	0.036
mant	295	0.034
mant	295.5	0.035
mant	296	0.034
mant	296.5	0.033
mant	297	0.032
mant	297.5	0.032
mant	298	0.031
mant	298.5	0.028
mant	299	0.028
mant	299.5	0.027
mant	300	0.027
mant	300.5	0.027
mant	301	0.026
mant	301.5	0.027
mant	302	0.026
mant	302.5	0.027
mant	303	0.025
mant	303.5	0.024
mant	304	0.024
mant	304.5	0.023
mant	305	0.024
mant	305.5	0.024
mant	306	0.025
mant	306.5	0.025
mant	307	0.025
mant	307.5	0.025
mant	308	0.024
mant	308.5	0.024
mant	309	0.022
mant	309.5	0.021
mant	310	0.02
mant	310.5	0.02
mant	311	0.02
mant	311.5	0.02
mant	312	0.02
mant	312.5	0.019
mant	313	0.021
mant	313.5	0.021
mant	314	0.021
mant	314.5	0.021
mant	315	0.02
mant	315.5	0.02
mant	316	0.02
mant	316.5	0.022
mant	317	0.024
mant	317.5	0.027
mant	318	0.026
mant	318.5	0.028
mant	319	0.028
mant	319.5	0.029
mant	320	0.03
mant	320.5	0.028
mant	321	0.027
mant	321.5	0.028
mant	322	0.029
mant	322.5	0.029
mant	323	0.03
mant	323.5	0.031
mant	324	0.033
mant	324.5	0.033
mant	325	0.032
mant	325.5	0.033
mant	326	0.035
mant	326.5	0.034
mant	327	0.034
mant	327.5	0.034
mant	328	0.034
mant	328.5	0.035
mant	329	0.036
mant	329.5	0.037
mant	330	0.039
mant	330.5	0.04
mant	331	0.041
mant	331.5	0.04
mant	332	0.041
mant	332.5	0.042
mant	333	0.043
mant	333.5	0.044
mant	334	0.041
mant	334.5	0.042
mant	335	0.042
mant	335.5	0.043
mant	336	0.044
mant	336.5	0.045
mant	337	0.044
mant	337.5	0.045
mant	338	0.044
mant	338.5	0.045
mant	339	0.044
mant	339.5	0.044
mant	340	0.044
mant	340.5	0.044
mant	341	0.044
mant	341.5	0.048
mant	342	0.05
mant	342.5	0.05
mant	343	0.053
mant	343.5	0.051
mant	344	0.05
mant	344.5	0.05
mant	345	0.05
mant	345.5	0.049
mant	346	0.049
mant	346.5	0.049
mant	347	0.051
mant	347.5	0.051
mant	348	0.051
mant	348.5	0.051
mant	349	0.05
mant	349.5	0.049
mant	350	0.047
gmppnp	220	-0.037
gmppnp	220.5	-0.022
gmppnp	221	-0.018
gmppnp	221.5	-0.019
gmppnp	222	-0.015
gmppnp	222.5	-0.005
gmppnp	223	-0.01
gmppnp	223.5	-0.006
gmppnp	224	0
gmppnp	224.5	0.006
gmppnp	225	0.018
gmppnp	225.5	0.026
gmppnp	226	0.031
gmppnp	226.5	0.036
gmppnp	227	0.039
gmppnp	227.5	0.044
gmppnp	228	0.047
gmppnp	228.5	0.048
gmppnp	229	0.051
gmppnp	229.5	0.056
gmppnp	230	0.057
gmppnp	230.5	0.062
gmppnp	231	0.066
gmppnp	231.5	0.07
gmppnp	232	0.073
gmppnp	232.5	0.08
gmppnp	233	0.086
gmppnp	233.5	0.093
gmppnp	234	0.1
gmppnp	234.5	0.105
gmppnp	235	0.112
gmppnp	235.5	0.121
gmppnp	236	0.131
gmppnp	236.5	0.14
gmppnp	237	0.146
gmppnp	237.5	0.159
gmppnp	238	0.172
gmppnp	238.5	0.183
gmppnp	239	0.196
gmppnp	239.5	0.207
gmppnp	240	0.213
gmppnp	240.5	0.219
gmppnp	241	0.225
gmppnp	241.5	0.231
gmppnp	242	0.238
gmppnp	242.5	0.244
gmppnp	243	0.249
gmppnp	243.5	0.259
gmppnp	244	0.268
gmppnp	244.5	0.275
gmppnp	245	0.28
gmppnp	245.5	0.285
gmppnp	246	0.288
gmppnp	246.5	0.292
gmppnp	247	0.295
gmppnp	247.5	0.298
gmppnp	248	0.303
gmppnp	248.5	0.305
gmppnp	249	0.308
gmppnp	249.5	0.31
gmppnp	250	0.312
gmppnp	250.5	0.314
gmppnp	251	0.314
gmppnp	251.5	0.314
gmppnp	252	0.313
gmppnp	252.5	0.312
gmppnp	253	0.311
gmppnp	253.5	0.313
gmppnp	254	0.313
gmppnp	254.5	0.313
gmppnp	255	0.314
gmppnp	255.5	0.311
gmppnp	256	0.309
gmppnp	256.5	0.306
gmppnp	257	0.301
gmppnp	257.5	0.296
gmppnp	258	0.291
gmppnp	258.5	0.287
gmppnp	259	0.285
gmppnp	259.5	0.282
gmppnp	260	0.279
gmppnp	260.5	0.277
gmppnp	261	0.272
gmppnp	261.5	0.269
gmppnp	262	0.267
gmppnp	262.5	0.265
gmppnp	263	0.262
gmppnp	263.5	0.258
gmppnp	264	0.253
gmppnp	264.5	0.246
gmppnp	265	0.24
gmppnp	265.5	0.239
gmppnp	266	0.237
gmppnp	266.5	0.234
gmppnp	267	0.231
gmppnp	267.5	0.227
gmppnp	268	0.225
gmppnp	268.5	0.226
gmppnp	269	0.223
gmppnp	269.5	0.221
gmppnp	270	0.218
gmppnp	270.5	0.216
gmppnp	271	0.217
gmppnp	271.5	0.216
gmppnp	272	0.215
gmppnp	272.5	0.214
gmppnp	273	0.212
gmppnp	273.5	0.21
gmppnp	274	0.209
gmppnp	274.5	0.206
gmppnp	275	0.206
gmppnp	275.5	0.203
gmppnp	276	0.198
gmppnp	276.5	0.196
gmppnp	277	0.195
gmppnp	277.5	0.194
gmppnp	278	0.192
gmppnp	278.5	0.185
gmppnp	279	0.181
gmppnp	279.5	0.179
gmppnp	280	0.177
gmppnp	280.5	0.171
gmppnp	281	0.167
gmppnp	281.5	0.161
gmppnp	282	0.155
gmppnp	282.5	0.149
gmppnp	283	0.144
gmppnp	283.5	0.141
gmppnp	284	0.136
gmppnp	284.5	0.131
gmppnp	285	0.126
gmppnp	285.5	0.121
gmppnp	286	0.116
gmppnp	286.5	0.11
gmppnp	287	0.103
gmppnp	287.5	0.095
gmppnp	288	0.09
gmppnp	288.5	0.084
gmppnp	289	0.079
gmppnp	289.5	0.077
gmppnp	290	0.072
gmppnp	290.5	0.068
gmppnp	291	0.061
gmppnp	291.5	0.053
gmppnp	292	0.047
gmppnp	292.5	0.04
gmppnp	293	0.036
gmppnp	293.5	0.03
gmppnp	294	0.025
gmppnp	294.5	0.02
gmppnp	295	0.019
gmppnp	295.5	0.016
gmppnp	296	0.014
gmppnp	296.5	0.011
gmppnp	297	0.008
gmppnp	297.5	0.007
gmppnp	298	0.003
gmppnp	298.5	0.002
gmppnp	299	0.001
gmppnp	299.5	0
gmppnp	300	-0.001
gmppnp	300.5	-0.002
gmppnp	301	-0.002
gmppnp	301.5	-0.003
gmppnp	302	-0.001
gmppnp	302.5	-0.005
gmppnp	303	-0.007
gmppnp	303.5	-0.009
gmppnp	304	-0.011
gmppnp	304.5	-0.011
gmppnp	305	-0.011
gmppnp	305.5	-0.01
gmppnp	306	-0.009
gmppnp	306.5	-0.01
gmppnp	307	-0.011
gmppnp	307.5	-0.013
gmppnp	308	-0.013
gmppnp	308.5	-0.013
gmppnp	309	-0.014
gmppnp	309.5	-0.015
gmppnp	310	-0.013
gmppnp	310.5	-0.014
gmppnp	311	-0.014
gmppnp	311.5	-0.012
gmppnp	312	-0.013
gmppnp	312.5	-0.013
gmppnp	313	-0.014
gmppnp	313.5	-0.014
gmppnp	314	-0.015
gmppnp	314.5	-0.014
gmppnp	315	-0.013
gmppnp	315.5	-0.013
gmppnp	316	-0.014
gmppnp	316.5	-0.014
gmppnp	317	-0.016
gmppnp	317.5	-0.016
gmppnp	318	-0.015
gmppnp	318.5	-0.015
gmppnp	319	-0.015
gmppnp	319.5	-0.014
gmppnp	320	-0.015
gmppnp	320.5	-0.016
gmppnp	321	-0.016
gmppnp	321.5	-0.014
gmppnp	322	-0.014
gmppnp	322.5	-0.014
gmppnp	323	-0.014
gmppnp	323.5	-0.014
gmppnp	324	-0.013
gmppnp	324.5	-0.011
gmppnp	325	-0.011
gmppnp	325.5	-0.012
gmppnp	326	-0.012
gmppnp	326.5	-0.011
gmppnp	327	-0.012
gmppnp	327.5	-0.014
gmppnp	328	-0.012
gmppnp	328.5	-0.011
gmppnp	329	-0.011
gmppnp	329.5	-0.012
gmppnp	330	-0.011
gmppnp	330.5	-0.01
gmppnp	331	-0.011
gmppnp	331.5	-0.011
gmppnp	332	-0.013
gmppnp	332.5	-0.012
gmppnp	333	-0.012
gmppnp	333.5	-0.011
gmppnp	334	-0.01
gmppnp	334.5	-0.008
gmppnp	335	-0.007
gmppnp	335.5	-0.008
gmppnp	336	-0.009
gmppnp	336.5	-0.01
gmppnp	337	-0.01
gmppnp	337.5	-0.01
gmppnp	338	-0.011
gmppnp	338.5	-0.01
gmppnp	339	-0.01
gmppnp	339.5	-0.009
gmppnp	340	-0.008
gmppnp	340.5	-0.008
gmppnp	341	-0.01
gmppnp	341.5	-0.011
gmppnp	342	-0.013
gmppnp	342.5	-0.014
gmppnp	343	-0.013
gmppnp	343.5	-0.013
gmppnp	344	-0.012
gmppnp	344.5	-0.011
gmppnp	345	-0.011
gmppnp	345.5	-0.01
gmppnp	346	-0.01
gmppnp	346.5	-0.011
gmppnp	347	-0.012
gmppnp	347.5	-0.014
gmppnp	348	-0.015
gmppnp	348.5	-0.013
gmppnp	349	-0.012
gmppnp	349.5	-0.012
gmppnp	350	-0.011
protein	220	2.755
protein	220.5	2.635
protein	221	2.529
protein	221.5	2.426
protein	222	2.322
protein	222.5	2.224
protein	223	2.133
protein	223.5	2.043
