well	Pi_conc	sensor_conc	date	data_file	Time	fluorescence	row	column	condition
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1703	17452	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1716	17405	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1729	17325	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1742	17413	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1755	17378	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1768	17311	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1781	17391	A	1	20181107-A-1-5-10
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1794	17419	A	1	20181107-A-1-5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	0	17723	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	13	17829	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	26	17889	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	39	17843	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	52	17838	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	65	17728	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	78	17804	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	91	17755	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	104	17864	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	117	17788	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	130	17710	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	143	17619	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	156	17698	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	169	17582	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	182	17600	A	2	20181107-A-2-4.5-10
