sample	well	conc	GEF_conc	date	k_est	cutoff_time	data_file
PE1_WT	G1	5.5	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE1_WT	G2	7	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE1_WT	G3	8	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE1_WT	G4	9	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE1_WT	G5	10	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE1_WT	G6	12	5	20181106	0.005		GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE10_G80A	E1	0.25	5	20180904	0.03		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE10_G80A	E1	0.5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE10_G80A	E2	0.75	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE10_G80A	E2	1	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE10_G80A	E3	1.25	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE10_G80A	E3	1.5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE10_G80A	E4	1.75	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay2.txt
PE10_G80A	E4	2	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay.txt
PE10_G80A	G1	2.25	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G1	2.5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE10_G80A	G2	2.75	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G2	3	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE10_G80A	G3	3.25	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G3	3.5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE10_G80A	G4	4	5	20180904	0.001	1250	GEF_assay/2018_data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G4	4.5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay4.txt
PE10_G80A	A1	5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A1	5.5	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
PE10_G80A	A2	6	5	20180904	0.007		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A3	7	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A4	8	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A2	9	5	20180904	0.001		GEF_assay/2018_data/20180904_GEF_FRET_assay6.txt
