sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	cutoff_time	back_signal	fit	data_file
PE1_WT	A5	5	5	20181003	0.008	4200	8500		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt
PE1_WT	G1	5.5	5	20181106	0.007	4300	5000		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE1_WT	A1	6	5	20180906	0.007	4200	9000		exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt
PE1_WT	C1	6	5	20180906	0.007	4800	10500		exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay9.txt
PE1_WT	A6	6	5	20181003	0.007	4800	10500		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay3.txt
PE1_WT	E2	7	5	20180824	0.007	5000	12500		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE1_WT	C1	7	5	20181003	0.007	5000	12000		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	G2	7	5	20181106	0.006	5500	6800		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE1_WT	E3	8	5	20180824	0.007	6500	15000		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE1_WT	A2	8	5	20180906	0.007	6000	14000		exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt
PE1_WT	C2	8	5	20180906	0.007	6500	13500		exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay9.txt
PE1_WT	C2	8	5	20181003	0.007	7000	14500		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	G3	8	5	20181106	0.005	6200	8300		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE1_WT	A3	9	5	20180906	0.007	5900	17000	3000	exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt
PE1_WT	C3	9	5	20181003	0.007	8000	16500		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	G4	9	5	20181106	0.005	7000	9900		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE1_WT	E5	10	5	20180824	0.007	8000	20000		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
PE1_WT	A4	10	5	20180906	0.007	8000	20000		exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt
PE1_WT	C4	10	5	20181003	0.007	8000	19000		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	C4	10	5	20181003	0.007	8300	19000		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	G5	10	5	20181106	0.005	7600	11200		exp	exp	GEF_assay/2018_data/20181106_GEF_FRET_assay.txt
PE1_WT	A5	11	5	20180906	0.007	8300	21000	4000	exp	exp	GEF_assay/2018_data/20180906_GEF_FRET_assay8.txt
PE1_WT	C5	11	5	20181003	0.007	7800	21000		exp	exp	GEF_assay/2018_data/20181003_GEF_FRET_assay4.txt
PE1_WT	E6	12	5	20180824	0.007	9000	23638		exp	exp	GEF_assay/2018_data/20180824_GEF_FRET_assay3.txt
