PE1:GTP 5x
6/22/2017 11:28 PM
Wavelength (nm)	10mm Absorbance
290.0	0.132
290.5	0.124
291.0	0.114
291.5	0.106
292.0	0.096
292.5	0.090
293.0	0.082
293.5	0.075
294.0	0.068
294.5	0.062
295.0	0.054
295.5	0.050
296.0	0.045
296.5	0.041
297.0	0.039
297.5	0.035
298.0	0.031
298.5	0.029
299.0	0.026
299.5	0.024
300.0	0.021
300.5	0.019
301.0	0.017
301.5	0.014
302.0	0.014
302.5	0.013
303.0	0.010
303.5	0.009
304.0	0.008
304.5	0.006
305.0	0.006
305.5	0.006
306.0	0.003
306.5	0.003
307.0	0.002
307.5	0.002
308.0	0.003
308.5	0.001
309.0	0.001
309.5	-0.001
310.0	-0.001
310.5	0.000
311.0	-0.001
311.5	-0.001
312.0	0.000
312.5	-0.001
313.0	-0.002
313.5	-0.001
314.0	0.001
314.5	0.001
315.0	0.004
315.5	0.004
316.0	0.004
316.5	0.004
317.0	0.005
317.5	0.005
318.0	0.004
318.5	0.004
319.0	0.004
319.5	0.002
320.0	0.002
320.5	0.002
321.0	0.001
321.5	0.001
322.0	0.001
322.5	-0.001
323.0	0.000
323.5	-0.001
324.0	-0.001
324.5	-0.002
325.0	0.000
325.5	-0.001
326.0	-0.003
326.5	-0.003
327.0	-0.003
327.5	-0.003
328.0	-0.001
328.5	0.000
329.0	-0.001
329.5	-0.002
330.0	-0.002
330.5	-0.002
331.0	-0.002
331.5	-0.002
332.0	-0.002
332.5	-0.004
333.0	-0.005
333.5	-0.003
334.0	-0.003
334.5	-0.003
335.0	-0.002
335.5	-0.003
336.0	-0.004
336.5	-0.002
337.0	-0.002
337.5	-0.002
338.0	-0.002
338.5	-0.003
339.0	-0.002
339.5	-0.001
340.0	0.000
340.5	0.001
341.0	0.002
341.5	0.001
342.0	0.001
342.5	0.001
343.0	0.001
343.5	0.001
344.0	-0.001
344.5	0.000
345.0	0.000
345.5	-0.001
346.0	-0.002
346.5	-0.002
347.0	-0.003
347.5	-0.004
348.0	-0.004
348.5	-0.006
349.0	-0.007
349.5	-0.008
350.0	-0.008


PE7:GTP 5x
6/22/2017 11:28 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	-0.06333	
//WLCalib: 261S 	-0.41000	
//WLCalib: 362S 	-0.11000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
220.0	3.964
220.5	3.876
221.0	3.781
221.5	3.683
222.0	3.602
222.5	3.512
223.0	3.409
223.5	3.296
224.0	3.167
224.5	3.023
225.0	2.892
225.5	2.773
226.0	2.684
226.5	2.607
227.0	2.535
227.5	2.468
228.0	2.408
228.5	2.352
229.0	2.295
229.5	2.234
230.0	2.169
230.5	2.104
231.0	2.035
231.5	1.962
232.0	1.878
232.5	1.780
233.0	1.674
233.5	1.563
234.0	1.449
234.5	1.333
235.0	1.218
235.5	1.102
236.0	0.993
236.5	0.897
237.0	0.808
237.5	0.726
238.0	0.651
238.5	0.583
239.0	0.525
239.5	0.477
240.0	0.437
240.5	0.408
241.0	0.386
241.5	0.367
242.0	0.351
242.5	0.336
243.0	0.325
243.5	0.316
244.0	0.305
244.5	0.299
245.0	0.296
245.5	0.292
246.0	0.288
246.5	0.284
247.0	0.282
247.5	0.281
248.0	0.282
248.5	0.282
249.0	0.283
249.5	0.285
250.0	0.287
250.5	0.287
251.0	0.287
251.5	0.293
252.0	0.299
252.5	0.300
253.0	0.303
253.5	0.308
254.0	0.313
254.5	0.318
255.0	0.325
255.5	0.329
256.0	0.334
256.5	0.340
257.0	0.344
257.5	0.348
258.0	0.352
258.5	0.355
259.0	0.357
259.5	0.358
260.0	0.360
260.5	0.364
261.0	0.365
261.5	0.367
262.0	0.371
262.5	0.372
263.0	0.375
263.5	0.379
264.0	0.384
264.5	0.389
265.0	0.394
265.5	0.397
266.0	0.402
266.5	0.407
267.0	0.411
267.5	0.413
268.0	0.419
268.5	0.421
269.0	0.424
269.5	0.424
270.0	0.426
270.5	0.428
271.0	0.430
271.5	0.433
272.0	0.435
272.5	0.437
273.0	0.441
273.5	0.443
274.0	0.445
274.5	0.446
275.0	0.448
275.5	0.447
276.0	0.449
276.5	0.449
277.0	0.450
277.5	0.452
278.0	0.452
278.5	0.451
279.0	0.449
279.5	0.445
280.0	0.441
280.5	0.437
281.0	0.433
281.5	0.429
282.0	0.425
282.5	0.419
283.0	0.412
283.5	0.404
284.0	0.396
284.5	0.390
285.0	0.381
285.5	0.373
286.0	0.364
286.5	0.352
287.0	0.341
287.5	0.330
288.0	0.319
288.5	0.307
289.0	0.296
289.5	0.282
290.0	0.266
290.5	0.253
291.0	0.237
291.5	0.224
292.0	0.207
292.5	0.193
293.0	0.179
293.5	0.166
294.0	0.152
294.5	0.140
295.0	0.127
295.5	0.116
296.0	0.107
296.5	0.098
297.0	0.091
297.5	0.085
298.0	0.078
298.5	0.072
299.0	0.066
299.5	0.060
300.0	0.055
300.5	0.050
301.0	0.046
301.5	0.041
302.0	0.036
302.5	0.033
303.0	0.030
303.5	0.026
304.0	0.023
304.5	0.020
305.0	0.018
305.5	0.017
306.0	0.014
306.5	0.012
307.0	0.011
307.5	0.011
308.0	0.010
308.5	0.008
309.0	0.007
309.5	0.007
310.0	0.006
310.5	0.004
311.0	0.004
311.5	0.005
312.0	0.005
312.5	0.004
313.0	0.003
313.5	0.004
314.0	0.004
314.5	0.003
315.0	0.003
315.5	0.004
316.0	0.005
316.5	0.003
317.0	0.004
317.5	0.004
318.0	0.004
318.5	0.002
319.0	0.000
319.5	-0.003
320.0	-0.003
320.5	-0.002
321.0	-0.003
321.5	-0.001
322.0	-0.001
322.5	-0.001
323.0	0.000
323.5	-0.002
324.0	-0.001
324.5	0.000
325.0	0.001
325.5	0.000
326.0	0.000
326.5	0.002
327.0	0.002
327.5	0.003
328.0	0.005
328.5	0.006
329.0	0.004
329.5	0.003
330.0	0.003
330.5	0.003
331.0	0.004
331.5	0.004
332.0	0.002
332.5	0.001
333.0	0.001
333.5	0.002
334.0	0.002
334.5	0.003
335.0	0.003
335.5	0.001
336.0	-0.001
336.5	0.000
337.0	0.000
337.5	0.000
338.0	0.000
338.5	-0.001
339.0	-0.002
339.5	-0.001
340.0	0.000
340.5	0.000
341.0	0.001
341.5	0.000
342.0	0.000
342.5	0.000
343.0	0.000
343.5	0.000
344.0	-0.001
344.5	0.000
345.0	0.000
345.5	-0.001
346.0	-0.002
346.5	-0.002
347.0	-0.002
347.5	-0.002
348.0	-0.002
348.5	-0.003
349.0	-0.005
349.5	-0.006
350.0	-0.006

